PLS_id,g1,resopfrac,tleaf,twood,troot,aleaf,awood,aroot,c4,leaf_n2c,awood_n2c,froot_n2c,leaf_p2c,awood_p2c,froot_p2c,amp,pdia
10.0,5.607869624193109,0.47621575276530204,5.630658149719238,11.802465438842773,4.93459939956665,0.29875,0.25875,0.4425,0.0,0.019561122244488978,0.0002967935871743487,0.00983567134268537,0.001536673346693387,4.889779559118237e-05,0.0021589178356713427,0.9284775148526893,6.689303754613346e-09
11.0,12.524789305996475,0.3954272746536255,6.663344860076904,21.0856990814209,1.517651081085205,0.4225,0.14125,0.43625,0.0,0.020713426853707417,0.0009559118236472945,0.015090180360721442,0.002324849699398798,0.00024458917835671343,0.00045811623246492985,0.34416376844885205,9.537313444048013e-09
12.0,2.4820993271831475,0.5108675509140957,5.1002421379089355,18.081525802612305,1.5139442682266235,0.35875,0.29125,0.35,0.0,0.008775551102204408,0.001347695390781563,0.007853707414829658,0.0012048096192384772,0.00025,0.0019146292585170343,0.5507648302137823,5.078990405643734e-09
13.0,3.997294276555822,0.35048717664902,4.329288482666016,29.450176239013672,6.24627685546875,0.42125,0.17,0.40875,0.0,0.01877755511022044,0.0023018036072144287,0.011955911823647294,0.001278557114228457,0.0001620741482965932,0.001624248496993988,0.9403159746909262,2.261754426833472e-09
14.0,4.449514822436122,0.5353644901339452,2.6465659141540527,3.3265650272369385,2.257567882537842,0.43375,0.31,0.25625,0.0,0.002599198396793587,0.0014859719438877757,0.01292384769539078,0.0005180360721442886,7.369739478957916e-05,0.0006609218436873748,0.07458856013575436,4.24573524611846e-09
15.0,10.481026649556526,0.5305176544254362,3.7580373287200928,42.119773864746094,3.696655035018921,0.4575,0.225,0.3175,0.0,0.012232464929859719,0.001421442885771543,0.01624248496993988,0.0019515030060120243,0.00019408817635270542,0.001536673346693387,0.3940437044715791,9.781815983099799e-09
16.0,6.852625271625509,0.5876332602562362,5.356316566467285,29.85239601135254,0.8745650053024292,0.2,0.14875,0.65125,0.0,0.02260320641282565,0.0024769539078156313,0.007991983967935871,0.001426052104208417,0.00023421843687374753,0.002002204408817635,0.24570561351640688,7.272056931808377e-09
17.0,7.653670961406231,0.5958709508550933,5.463201522827148,13.983636856079102,2.073474884033203,0.10375,0.1425,0.75375,0.0,0.011771543086172344,0.0018915831663326652,0.012416833667334669,0.001960721442885772,0.00018326653306613227,0.0019561122244488977,0.9100855181313774,4.386015301552845e-09
18.0,3.9653249253781016,0.533901486016051,3.7288782596588135,49.649471282958984,5.216490745544434,0.2275,0.14125,0.63125,0.0,0.022741482965931863,0.0018501002004008018,0.0061482965931863726,0.0011955911823647296,4.123246492985972e-05,0.002025250501002004,0.6339983272879034,8.939878327055117e-11
19.0,9.127306102866415,0.5749172354970966,3.128540277481079,36.5473747253418,4.477682113647461,0.4525,0.12625,0.42125,0.0,0.009697394789579157,0.0019837675350701405,0.017210420841683366,0.0019515030060120243,0.00019453907815631261,0.002338677354709419,0.5579579178017626,1.3414555168300678e-09
